10,10
860,10
10,60
60,60
610,60
660,60
710,60
760,60
810,60
860,60
10,110
60,110
610,110
660,110
710,110
760,110
810,110
860,110
10,160
60,160
110,160
160,160
210,160
260,160
310,160
360,160
410,160
460,160
510,160
560,160
610,160
660,160
710,160
760,160
810,160
860,160
10,210
60,210
110,210
160,210
210,210
260,210
310,210
360,210
410,210
460,210
510,210
560,210
610,210
660,210
710,210
760,210
810,210
860,210
10,260
60,260
110,410
160,410
210,410
260,410
310,410
360,410
410,410
460,410
510,410
560,410
610,410
660,410
710,410
760,410
810,410
160,260
210,260
260,260
310,260
360,260
410,260
460,260
510,260
560,260
610,260
660,260
710,260
760,260
810,260
860,260
10,310
60,310
110,460
160,460
210,460
260,460
310,460
360,460
410,460
460,460
510,460
560,460
610,460
660,460
710,460
760,460
810,460
160,310
210,310
260,310
310,310
360,310
410,310
460,310
510,310
560,310
610,310
660,310
710,310
760,310
810,310
860,310
